pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9813880126182966,0.9814210220702986,396.4296875,19.89185975199996,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.8826498422712934,0.8881848269663496,107.625,,2.0360940000045957,2.0707550000338415,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.8482649842271294,0.8545197896442377,108.046875,9.083264248999967,2.0376644999942073,2.068092499982299,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
