experiment_id,model_variant,source_accuracy,target_accuracy,accuracy_gap,source_macro_f1,target_macro_f1,macro_f1_gap,train_domain,eval_domain,unit_mode,normalization_mode,window_size_samples,target_sample_rate_hz,notes
E03_arduino_downsample_20hz_T100,deepconv_lstm_conv2d,0.9885864793678666,0.16624525916561314,0.8223412202022535,0.9832806154804284,0.057149065623641894,0.9261315498567865,wisdm,arduino,raw_no_conversion,train_zscore,100,20.0,Zero-shot WISDM to Arduino at 20 Hz with source train normalization.
E04_wisdm_to_g_arduino_g,deepconv_lstm_conv2d,0.9885864793678666,0.5935524652338812,0.3950340141339854,0.9832806154804284,0.6189147088769428,0.3643659066034856,wisdm,arduino,wisdm_to_g,train_zscore,100,20.0,Converting WISDM to g substantially reduces the observed gap.
E05_legacy_arduino_to_mps2,deepconv_lstm_conv2d,0.9885864793678666,0.6087231352718079,0.3798633440960587,0.9832806154804284,0.6201828907842567,0.3630977246961717,wisdm,arduino,arduino_to_mps2_legacy,train_zscore,100,20.0,Legacy negative-control unit conversion performed similarly to E04 in this run.
E06_no_norm_matched,deepconv_lstm_conv2d,0.9885864793678666,0.16940581542351454,0.8191806639443521,0.9832806154804284,0.05495834189992266,0.9283222735805058,wisdm,arduino,raw_no_conversion,none,100,20.0,Matched no-normalization training and inference did not solve the WISDM to Arduino gap.
E07_skip_inference_norm_diag,deepconv_lstm_conv2d,0.9885864793678666,0.26169405815423513,0.7268924212136315,0.9832806154804284,0.129888500900007,0.8533921145804214,wisdm,arduino,raw_no_conversion,train_zscore,100,20.0,Diagnostic-only skip-inference-normalization run; not deployment eligible.
E08_T50_window,deepconv_lstm_conv2d,0.9885864793678666,0.1668769716088328,0.8217095077590338,0.9832806154804284,0.04767054158781653,0.9356100738926119,wisdm,arduino,raw_no_conversion,train_zscore,50,20.0,T50 zero-shot window ablation did not improve the gap.
E09_wisdm_pretrain_arduino_finetune,deepconv_lstm_conv2d,,0.995575221238938,,,0.9955735520260941,,arduino,arduino,raw_no_conversion,train_zscore,100,20.0,Adaptation reference: WISDM pretrain plus Arduino fine-tune on Arduino train split only.
E10_arduino_from_scratch,deepconv_lstm_conv2d,,0.9924146649810367,,,0.9924203624956377,,arduino,arduino,raw_no_conversion,train_zscore,100,20.0,Adaptation reference: Arduino train split only from scratch.
