pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9851735015772871,0.9851592579923935,396.4296875,23.25017384099999,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9173501577287066,0.9198137609841089,107.625,,2.0382830000471586,2.0630012500362227,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.807570977917981,0.8128776802422589,108.046875,10.453303593999976,2.037083499999426,2.059235500013301,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
