pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.983596214511041,0.9836004614542538,80.40625,21.183129967000013,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9839116719242902,0.9839117715611799,26.1328125,,0.0445860000581888,0.05153374991095916,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9848580441640379,0.9848568011455189,26.734375,8.49198993799996,0.04460050013221917,0.05742599995528508,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
