pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9867256637168141,0.9867044486573958,80.40625,13.664183113000036,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9879898862199747,0.9879663198020067,26.1328125,,0.09676700005911698,0.11364699997784555,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9898862199747156,0.9898784362249167,26.734375,5.572841448999952,0.07563649995745436,0.09218450000503253,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
