pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9558359621451105,0.955712688927366,1086.16015625,30.138414282999975,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9548895899053628,0.9547949592485367,308.6171875,,0.31880500006309376,0.33903749996966326,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9621451104100947,0.9620058104465952,309.0703125,15.922920617000045,0.32254499996042796,0.34500250001201493,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
