pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9924146649810367,0.9924073961276353,80.40625,11.32329033699989,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9924146649810367,0.9924073961276353,26.1328125,,0.07495450006445026,0.09109574989452085,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9962073324905183,0.996207240391092,26.734375,4.849822159000041,0.07531450000897166,0.09139099989852184,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
