pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9842271293375394,0.9842370918497269,396.4296875,22.73946315299986,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.8946372239747634,0.8982040036138513,107.625,,2.0431560001270554,2.0957870000302137,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.849211356466877,0.8540017951089632,108.046875,9.302587611000035,2.043690499931472,2.0804619999807983,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
