acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z
-0.20440673828125,0.107666015625,-0.003875732421875,0.00543212890625,0.0174560546875,0.0015869140625
-0.2228851318359375,0.0867156982421875,0.006698608398437507,0.00518798828125,0.007568359374999998,0.0016937255859375
-0.217041015625,0.108734130859375,0.003662109375,0.00531005859375,-0.001220703125,0.003753662109375
-0.233123779296875,0.0986785888671875,0.028732299804687497,0.0010223388671875022,5.963111948670274e-19,0.0036163330078124996
-0.235931396484375,0.09552001953125,0.022796630859375,0.00396728515625,0.00079345703125,0.00311279296875
-0.2336578369140625,0.1040496826171875,0.029052734375,0.000732421875,0.0013275146484375,0.0032196044921875
-0.215789794921875,0.10946655273437501,0.018798828124999997,-0.0023498535156250035,0.00421142578125,0.00323486328125
-0.208221435546875,0.11822509765625,0.020111083984375,-0.004089355468749999,0.003936767578125,0.002548217773437499
-0.209228515625,0.126434326171875,0.031036376953125,-0.0029296875,0.001922607421875,0.00238037109375
-0.218719482421875,0.12420654296875,0.0250701904296875,-0.0009002685546875,-0.00012207031250000005,0.0022735595703125
-0.217926025390625,0.1263427734375,0.0206298828125,0.001678466796875,0.000396728515625,0.001922607421875
-0.2185821533203125,0.11767578125,0.0240020751953125,0.0024566650390625,0.0008697509765625,0.00128173828125
-0.21771240234375,0.117431640625,0.03894042968750002,0.0029296875000000017,0.0014953613281250026,0.0006103515624999978
-0.2111968994140625,0.1225128173828125,0.0423431396484375,0.0033416748046875,0.004974365234375,-0.0007171630859375
-0.2135009765625,0.134368896484375,0.05029296875,0.001190185546875,0.012847900390625,-0.00396728515625
-0.2085113525390625,0.14349365234375,0.065765380859375,-0.006317138671875,0.0218505859375,-0.0053253173828125
-0.199676513671875,0.1409912109375,0.055267333984375,-0.01434326171875,0.032257080078125,-0.010284423828125
-0.19638061523437503,0.19015502929687506,0.05281066894531236,-0.011810302734374934,0.031066894531249986,-0.017272949218750035
-0.197021484375,0.21337890625,0.004669189453125,0.003265380859375,0.0177001953125,-0.02435302734375
-0.21459960937499992,0.19462585449218744,0.03572082519531247,0.029525756835937517,-0.012191772460937531,-0.03808593749999999

-0.209228515625,0.126434326171875,0.031036376953125,-0.0029296875,0.001922607421875,0.00238037109375
-0.218719482421875,0.12420654296875,0.0250701904296875,-0.0009002685546875,-0.00012207031250000005,0.0022735595703125
-0.217926025390625,0.1263427734375,0.0206298828125,0.001678466796875,0.000396728515625,0.001922607421875
-0.2185821533203125,0.11767578125,0.0240020751953125,0.0024566650390625,0.0008697509765625,0.00128173828125
-0.21771240234375,0.117431640625,0.03894042968750002,0.0029296875000000017,0.0014953613281250026,0.0006103515624999978
-0.2111968994140625,0.1225128173828125,0.0423431396484375,0.0033416748046875,0.004974365234375,-0.0007171630859375
-0.2135009765625,0.134368896484375,0.05029296875,0.001190185546875,0.012847900390625,-0.00396728515625
-0.2085113525390625,0.14349365234375,0.065765380859375,-0.006317138671875,0.0218505859375,-0.0053253173828125
-0.199676513671875,0.1409912109375,0.055267333984375,-0.01434326171875,0.032257080078125,-0.010284423828125
-0.19638061523437503,0.19015502929687506,0.05281066894531236,-0.011810302734374934,0.031066894531249986,-0.017272949218750035
-0.197021484375,0.21337890625,0.004669189453125,0.003265380859375,0.0177001953125,-0.02435302734375
-0.21459960937499992,0.19462585449218744,0.03572082519531247,0.029525756835937517,-0.012191772460937531,-0.03808593749999999
-0.2010498046875,0.180419921875,0.0438232421875,0.042144775390625,-0.019439697265625,-0.037078857421875
-0.193328857421875,0.151947021484375,0.0703582763671875,0.03173828125,-0.0121917724609375,-0.0318603515625
-0.1883544921875,0.119110107421875,0.053192138671875,0.020599365234375,-0.000885009765625,-0.022247314453125
-0.16184997558593747,0.11764526367187499,0.05725097656250003,0.017959594726562514,-0.006332397460937496,-0.018280029296874986
-0.14181518554687497,0.12326049804687497,0.06750488281249999,0.018096923828125038,-0.009002685546875007,-0.012817382812499972
-0.13958740234375,0.1372222900390625,0.06768798828125,0.0210723876953125,-0.0109405517578125,-0.00653076171875
-0.1357421875,0.139007568359375,0.068756103515625,0.01885986328125,-0.0103759765625,-0.003814697265625
-0.1197357177734375,0.1375732421875,0.0753936767578125,0.01263427734375,-0.009429931640625,0.001678466796875

-0.199676513671875,0.1409912109375,0.055267333984375,-0.01434326171875,0.032257080078125,-0.010284423828125
-0.19638061523437503,0.19015502929687506,0.05281066894531236,-0.011810302734374934,0.031066894531249986,-0.017272949218750035
-0.197021484375,0.21337890625,0.004669189453125,0.003265380859375,0.0177001953125,-0.02435302734375
-0.21459960937499992,0.19462585449218744,0.03572082519531247,0.029525756835937517,-0.012191772460937531,-0.03808593749999999
-0.2010498046875,0.180419921875,0.0438232421875,0.042144775390625,-0.019439697265625,-0.037078857421875
-0.193328857421875,0.151947021484375,0.0703582763671875,0.03173828125,-0.0121917724609375,-0.0318603515625
-0.1883544921875,0.119110107421875,0.053192138671875,0.020599365234375,-0.000885009765625,-0.022247314453125
-0.16184997558593747,0.11764526367187499,0.05725097656250003,0.017959594726562514,-0.006332397460937496,-0.018280029296874986
-0.14181518554687497,0.12326049804687497,0.06750488281249999,0.018096923828125038,-0.009002685546875007,-0.012817382812499972
-0.13958740234375,0.1372222900390625,0.06768798828125,0.0210723876953125,-0.0109405517578125,-0.00653076171875
-0.1357421875,0.139007568359375,0.068756103515625,0.01885986328125,-0.0103759765625,-0.003814697265625
-0.1197357177734375,0.1375732421875,0.0753936767578125,0.01263427734375,-0.009429931640625,0.001678466796875
-0.118927001953125,0.163909912109375,0.086639404296875,0.016998291015625,-0.01177978515625,0.0107421875
-0.16091918945312514,0.1885070800781251,0.11610412597656257,0.01739501953124999,-0.014556884765624997,0.012390136718750003
-0.176239013671875,0.248809814453125,0.153839111328125,0.008209228515625,-0.009552001953125,0.00714111328125
-0.1530303955078125,0.2097930908203125,0.142852783203125,0.005706787109375,-0.004150390625,-0.0021514892578125
-0.199462890625,0.085693359375,-0.00567626953125,-0.018890380859375,-0.0135498046875,0.024932861328125
-0.3707122802734375,0.2169647216796875,0.119171142578125,-0.0127105712890625,-0.0210418701171875,0.0339813232421875
-0.24652099609374903,0.16287231445312367,0.08639526367187367,-0.0036010742187505018,0.00930786132812516,-0.002349853515624911
-0.175750732421875,-0.060638427734375,-0.098846435546875,-0.0599212646484375,0.018463134765625,0.018890380859375

-0.14181518554687497,0.12326049804687497,0.06750488281249999,0.018096923828125038,-0.009002685546875007,-0.012817382812499972
-0.13958740234375,0.1372222900390625,0.06768798828125,0.0210723876953125,-0.0109405517578125,-0.00653076171875
-0.1357421875,0.139007568359375,0.068756103515625,0.01885986328125,-0.0103759765625,-0.003814697265625
-0.1197357177734375,0.1375732421875,0.0753936767578125,0.01263427734375,-0.009429931640625,0.001678466796875
-0.118927001953125,0.163909912109375,0.086639404296875,0.016998291015625,-0.01177978515625,0.0107421875
-0.16091918945312514,0.1885070800781251,0.11610412597656257,0.01739501953124999,-0.014556884765624997,0.012390136718750003
-0.176239013671875,0.248809814453125,0.153839111328125,0.008209228515625,-0.009552001953125,0.00714111328125
-0.1530303955078125,0.2097930908203125,0.142852783203125,0.005706787109375,-0.004150390625,-0.0021514892578125
-0.199462890625,0.085693359375,-0.00567626953125,-0.018890380859375,-0.0135498046875,0.024932861328125
-0.3707122802734375,0.2169647216796875,0.119171142578125,-0.0127105712890625,-0.0210418701171875,0.0339813232421875
-0.24652099609374903,0.16287231445312367,0.08639526367187367,-0.0036010742187505018,0.00930786132812516,-0.002349853515624911
-0.175750732421875,-0.060638427734375,-0.098846435546875,-0.0599212646484375,0.018463134765625,0.018890380859375
-0.216064453125,0.024688720703125,-0.02197265625,-0.0205078125,0.016815185546875,0.03741455078125
-0.1856842041015625,0.26934814453125,-0.01226806640625,-0.008880615234375,-0.0014495849609375,0.02593994140625
-0.1943359375,0.274139404296875,0.169769287109375,-0.0107421875,-0.017852783203125,0.00714111328125
-0.2270507812499994,0.10025024414062542,-0.027130126953124754,-0.02110290527343768,0.00671386718750013,-0.0002593994140625551
-0.170654296875,0.158294677734375,0.0279541015625,-0.0228271484375,-0.0013427734375,-0.00201416015625
-0.17427062988281258,0.15547180175781225,-0.03546142578125043,-0.012664794921874981,-0.004882812500000044,-0.0030364990234375395
-0.198272705078125,0.091461181640625,0.041839599609375,-0.011016845703125,-0.01690673828125,-0.003265380859375
-0.1893005371093749,0.09509277343750014,0.022903442382812403,-0.010025024414062498,-0.013046264648437495,-4.577636718750846e-05

-0.199462890625,0.085693359375,-0.00567626953125,-0.018890380859375,-0.0135498046875,0.024932861328125
-0.3707122802734375,0.2169647216796875,0.119171142578125,-0.0127105712890625,-0.0210418701171875,0.0339813232421875
-0.24652099609374903,0.16287231445312367,0.08639526367187367,-0.0036010742187505018,0.00930786132812516,-0.002349853515624911
-0.175750732421875,-0.060638427734375,-0.098846435546875,-0.0599212646484375,0.018463134765625,0.018890380859375
-0.216064453125,0.024688720703125,-0.02197265625,-0.0205078125,0.016815185546875,0.03741455078125
-0.1856842041015625,0.26934814453125,-0.01226806640625,-0.008880615234375,-0.0014495849609375,0.02593994140625
-0.1943359375,0.274139404296875,0.169769287109375,-0.0107421875,-0.017852783203125,0.00714111328125
-0.2270507812499994,0.10025024414062542,-0.027130126953124754,-0.02110290527343768,0.00671386718750013,-0.0002593994140625551
