pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9915130231196957,0.9881129088890113,80.40625,44.69277532699999,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9918056774948786,0.9884391890134365,26.1328125,,0.0751820000459702,0.09214199998552886,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9941469124963418,0.9917790944464654,26.734375,15.94578084699998,0.07607199998460601,0.09355199996718966,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
