pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9364940005853087,0.9139169403752114,1101.16015625,54.53518201600002,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9362013462101259,0.9133031459235842,312.3671875,,0.3231765000464293,0.34764025001265964,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.9511267193444543,0.9345297945275495,312.8203125,28.071403246999978,0.3226714999868818,0.33986449999190427,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
