pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9810725552050473,0.9811065798543153,396.4296875,17.88274903799993,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.8861198738170347,0.8913061630514032,107.625,,2.0367150000311085,2.0543025000563375,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.850788643533123,0.8570203273841616,108.046875,9.270295517000022,2.04005499995219,2.0648872500146354,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
