user,activity,timestamp,x-axis,y-axis,z-axis
hamza,Downstairs,4991922345000,-7.418433843994141,-5.2253451232910155,2.129642376708984
hamza,Downstairs,4991972345000,-6.82467183227539,-3.6332010192871094,2.4384943908691405
hamza,Downstairs,4992022345000,-6.585251666259765,-2.7365724975585937,2.6515783386230467
hamza,Downstairs,4992072345000,-6.008249066162109,-2.1260510742187497,2.546233465576172
hamza,Downstairs,4992122345000,-5.340266802978515,-1.8267758666992187,2.039859814453125
hamza,Downstairs,4992172345000,-5.009866973876953,-1.2425906616210938,2.203862628173828
hamza,Downstairs,4992222345000,-4.7955859252929685,-0.5183446594238281,2.6910826660156246
hamza,Downstairs,4992272345000,-3.9528269409179684,-1.22583125,3.0334535034179684
hamza,Downstairs,4992322345000,-2.9987375793457027,-4.89015689086914,3.754108203125
hamza,Downstairs,4992372345000,-5.704185455322265,-9.763554370117188,5.4779333984375
hamza,Downstairs,4992422345000,-7.32266577758789,-12.152967626953124,5.844246252441406
hamza,Downstairs,4992472345000,-8.25520732421875,-13.085509173583983,6.302735870361328
hamza,Downstairs,4992522345000,-8.319850769042969,-12.556390606689453,6.955155822753905
hamza,Downstairs,4992572345000,-7.301117962646484,-11.121066711425781,7.082048510742187
hamza,Downstairs,4992622345000,-5.372588525390625,-9.554061724853515,5.495889910888671
hamza,Downstairs,4992672345000,-3.417722869873047,-7.773972790527344,3.038241906738281
hamza,Downstairs,4992722345000,-2.051830822753906,-5.323507391357421,-1.0366893188476562
hamza,Downstairs,4992772345000,-1.1875240234375,-2.6623522460937497,-3.6822821533203123
hamza,Downstairs,4992822345000,-1.0223241088867188,-0.5147533569335937,-4.939238024902344
hamza,Downstairs,4992872345000,-1.1659762084960936,0.7661445312499999,-4.407725256347656
hamza,Downstairs,4992922345000,-16.530765362548827,-19.405004455566406,-2.1452046874999997
hamza,Downstairs,4992972345000,-12.413935607910156,-8.845378033447265,-0.8738836059570312
hamza,Downstairs,4993022345000,-9.605537060546874,-2.483984222412109,0.8678981018066406
hamza,Downstairs,4993072345000,-7.4699091796875,1.24498486328125,1.6508020446777343
hamza,Downstairs,4993122345000,-2.1128829650878904,4.3430818115234375,-0.21068974609375
