user,activity,timestamp,x-axis,y-axis,z-axis
hamza,Upstairs,4991922345000,-10.960655200195312,-6.355408306884765,0.19033903198242186
hamza,Upstairs,4991972345000,-10.360907684326172,-7.133523846435547,1.429338391113281
hamza,Upstairs,4992022345000,-9.581595043945311,-8.522160809326172,1.9189526306152342
hamza,Upstairs,4992072345000,-9.24520971069336,-9.011775048828124,0.9660603698730468
hamza,Upstairs,4992122345000,-8.781931689453124,-9.701305126953125,1.908178723144531
hamza,Upstairs,4992172345000,-8.427589843749999,-9.241618408203124,3.497928625488281
hamza,Upstairs,4992222345000,-8.688557824707031,-7.6997525390625,1.6328455322265625
hamza,Upstairs,4992272345000,-8.690952026367187,-6.99705435180664,1.3431471313476562
hamza,Upstairs,4992322345000,-7.376535314941406,-8.398859423828124,0.06823474731445311
hamza,Upstairs,4992372345000,-6.785167504882812,-8.379705810546875,0.8104372619628906
hamza,Upstairs,4992422345000,-5.887341882324218,-7.805097412109374,2.231395947265625
hamza,Upstairs,4992472345000,-5.275623358154297,-6.023811376953125,3.24294614868164
hamza,Upstairs,4992522345000,-4.976348150634766,-5.069722015380859,3.239354846191406
hamza,Upstairs,4992572345000,-4.8506525634765625,-4.303577484130859,3.143586779785156
hamza,Upstairs,4992622345000,-4.803965631103515,-3.69664736328125,3.6056677001953124
hamza,Upstairs,4992672345000,-4.1575311828613275,-3.7421371948242186,4.0988732421875
hamza,Upstairs,4992722345000,-3.418919970703125,-3.9264907226562498,4.33470210571289
hamza,Upstairs,4992772345000,-2.8107927490234372,-4.247313745117188,3.7708676147460936
hamza,Upstairs,4992822345000,-2.455253802490234,-3.968389251708984,3.7050270690917966
hamza,Upstairs,4992872345000,-1.887828009033203,-3.2225954345703123,4.0988732421875
hamza,Upstairs,4992922345000,-3.475183709716797,-6.451176373291015,5.093664031982422
hamza,Upstairs,4992972345000,-4.043806604003906,-6.649895111083984,5.400121844482421
hamza,Upstairs,4993022345000,-4.303577484130859,-6.8964978820800775,6.047753393554687
hamza,Upstairs,4993072345000,-4.2125978210449215,-7.250839727783203,6.791153009033203
hamza,Upstairs,4993122345000,-4.510675927734375,-7.39928023071289,7.163451367187499
hamza,Upstairs,4993172345000,-5.072116217041016,-7.542932330322265,7.280767248535156
hamza,Upstairs,4993222345000,-5.804741925048828,-7.775169891357422,7.6099699768066404
hamza,Upstairs,4993272345000,-6.372167718505859,-7.580042456054687,8.202534887695313
hamza,Upstairs,4993322345000,-7.612364178466796,-3.968389251708984,6.240486627197265
hamza,Upstairs,4993372345000,-7.146691955566406,1.8076222534179687,6.776787799072265
hamza,Upstairs,4993422345000,-5.3570262145996095,1.2713210815429687,10.102333905029296
hamza,Upstairs,4993472345000,-6.399701037597656,-6.222530114746093,-2.005143890380859
hamza,Upstairs,4993522345000,-7.097610821533203,-8.015787158203125,0.23582886352539062
hamza,Upstairs,4993572345000,-10.128670123291014,-12.088324182128906,5.664681127929687
hamza,Upstairs,4993622345000,-11.431115826416015,-8.79150849609375,0.013168109130859374
hamza,Upstairs,4993672345000,-8.832209924316405,-9.583989245605467,2.9891607727050777
hamza,Upstairs,4993722345000,-7.258022332763671,-7.548917834472656,3.248931652832031
hamza,Upstairs,4993772345000,-5.834669445800781,-4.302380383300781,3.8139632446289062
hamza,Upstairs,4993822345000,-5.090072729492187,-2.3499089294433593,2.8407202697753906
hamza,Upstairs,4993872345000,-4.187458703613281,-1.8746598999023436,2.9544448486328125
hamza,Upstairs,4993922345000,-13.511677069091796,-8.00022484741211,3.6367923217773437
hamza,Upstairs,4993972345000,-12.118251702880858,-8.817844714355468,3.0322564025878904
hamza,Upstairs,4994022345000,-8.894459167480468,-8.540117321777343,0.03232172241210937
hamza,Upstairs,4994072345000,-8.384494213867187,-6.880935571289062,-0.9373299499511718
hamza,Upstairs,4994122345000,-10.366893188476562,-6.9539587219238275,-1.849520782470703
hamza,Upstairs,4994172345000,-12.476184851074217,-7.236474517822265,-1.408987677001953
hamza,Upstairs,4994222345000,-13.351265557861327,-8.252813122558594,1.7776947326660155
hamza,Upstairs,4994272345000,-13.396755389404296,-8.949525805664061,3.209427325439453
hamza,Upstairs,4994322345000,-14.020444921874999,-8.912415679931641,2.4756045166015626
hamza,Upstairs,4994372345000,-14.882357519531249,-7.76319888305664,3.902548706054687
hamza,Upstairs,4994422345000,-14.557943194580078,-10.771513269042968,3.764882110595703
hamza,Upstairs,4994472345000,-14.648922857666015,-15.020024114990234,4.052186309814453
hamza,Upstairs,4994522345000,-13.243526483154296,-14.138957904052733,3.833116857910156
hamza,Upstairs,4994572345000,-10.973823309326171,-12.131419812011718,3.1699229980468746
hamza,Upstairs,4994622345000,-8.857349041748046,-7.487865692138671,4.491522314453125
hamza,Upstairs,4994672345000,-5.766434698486328,-5.529408734130859,6.6331356994628905
hamza,Upstairs,4994722345000,-4.576516473388671,-7.87812056274414,9.095572106933593
hamza,Upstairs,4994772345000,-4.908113403320312,-9.843760125732421,10.248380206298828
hamza,Upstairs,4994822345000,-7.254431030273437,-4.056974713134766,8.177395770263672
hamza,Upstairs,4994872345000,-6.010643267822266,-1.9488801513671874,8.091204510498047
hamza,Upstairs,4994922345000,0.3399766357421875,1.6029180114746093,9.415198028564452
hamza,Upstairs,4994972345000,0.6380547424316406,0.5518634826660156,6.726509564208984
hamza,Upstairs,4995022345000,0.07302315063476562,-1.2030863342285156,3.2836475769042965
hamza,Upstairs,4995072345000,0.32441432495117184,-3.536235852050781,-2.6707319519042967
hamza,Upstairs,4995122345000,-1.0965443603515623,-5.881356378173828,-1.0079588989257813
hamza,Upstairs,4995172345000,-1.438915197753906,-3.5697546752929687,-0.07541735229492187
hamza,Upstairs,4995222345000,-2.0973206542968748,-1.6915034729003906,0.15682020874023436
hamza,Upstairs,4995272345000,-3.67749375,-0.6332663391113281,0.719457598876953
hamza,Upstairs,4995322345000,-5.548562347412109,-2.146401788330078,-0.6871358764648438
hamza,Upstairs,4995372345000,-8.328230474853514,-4.165910888671875,-3.1208418640136717
hamza,Upstairs,4995422345000,-8.858546142578124,-5.973533142089844,-2.446874096679687
hamza,Upstairs,4995472345000,-11.674127294921874,-9.751583361816406,-1.1192892761230469
hamza,Upstairs,4995522345000,-14.967351678466796,-14.896722729492186,-0.3064578125
hamza,Upstairs,4995572345000,-19.736601385498044,-20.943279022216796,0.9708487731933593
hamza,Upstairs,4995622345000,-25.422830328369137,-28.016947827148435,13.166912030029296
hamza,Upstairs,4995672345000,-24.81590020751953,-23.809138409423827,8.583212951660157
hamza,Upstairs,4995722345000,-19.257761053466794,-17.36514464111328,4.622006304931641
hamza,Upstairs,4995772345000,-12.774262957763671,-10.676942303466797,4.331110803222656
hamza,Upstairs,4995822345000,-10.696095916748046,-7.888894470214844,3.806780639648437
hamza,Upstairs,4995872345000,-11.183315954589844,-5.844246252441406,4.833893151855468
hamza,Upstairs,4995922345000,-7.32266577758789,-7.9283987976074215,5.955576629638672
hamza,Upstairs,4995972345000,-6.908468890380859,-7.410054138183593,5.408501550292969
hamza,Upstairs,4996022345000,-6.4272343566894525,-6.72291826171875,5.10084663696289
hamza,Upstairs,4996072345000,-5.6012347839355465,-6.4272343566894525,4.777629412841796
hamza,Upstairs,4996122345000,-4.946420629882812,-6.222530114746093,4.817133740234374
hamza,Upstairs,4996172345000,-4.882974285888672,-4.480748406982421,3.345896820068359
hamza,Upstairs,4996222345000,-4.478354205322265,-2.7916391357421872,1.4736311218261717
hamza,Upstairs,4996272345000,-4.141968872070312,-0.8403647827148437,0.8858546142578124
