user,activity,timestamp,x-axis,y-axis,z-axis
hamza,Walking,4991922345000,-10.55364091796875,4.496310717773437,1.935712042236328
hamza,Walking,4991972345000,-10.06881508178711,4.508281726074219,2.0973206542968748
hamza,Walking,4992022345000,-9.604339959716796,4.145560174560547,2.308010400390625
hamza,Walking,4992072345000,-9.121908325195312,3.716998077392578,2.3810335510253906
hamza,Walking,4992122345000,-8.641870892333984,3.5913024902343746,2.2732944763183593
hamza,Walking,4992172345000,-8.292317449951172,3.517082238769531,2.1224597717285154
hamza,Walking,4992222345000,-8.180987072753906,3.4644098022460934,2.3343466186523436
hamza,Walking,4992272345000,-8.055291485595703,2.8945898071289062,2.6695348510742187
hamza,Walking,4992322345000,-7.991845141601562,2.8706477905273435,2.711433380126953
hamza,Walking,4992372345000,-8.044517578125,2.8383260681152342,2.8610709838867185
hamza,Walking,4992422345000,-8.03853207397461,2.8419173706054686,2.9472622436523435
hamza,Walking,4992472345000,-8.104372619628906,3.4859576171874997,2.817975354003906
hamza,Walking,4992522345000,-8.039729174804688,3.6559459350585937,2.602497204589844
hamza,Walking,4992572345000,-8.100781317138672,3.9228994201660154,2.498349432373047
hamza,Walking,4992622345000,-8.20373198852539,4.091690637207031,2.3906103576660156
hamza,Walking,4992672345000,-8.137891442871092,4.284423870849609,2.360682836914062
hamza,Walking,4992722345000,-8.224082702636718,4.024652990722656,2.427720483398437
hamza,Walking,4992772345000,-8.17859287109375,4.126406561279297,2.2206220397949217
hamza,Walking,4992822345000,-7.900865478515625,3.9420530334472654,1.936909143066406
hamza,Walking,4992872345000,-7.937975604248046,3.537432952880859,1.9093758239746093
hamza,Walking,4992922345000,-8.62511148071289,3.921702319335937,4.102464544677734
hamza,Walking,4992972345000,-8.505401397705077,4.237736938476562,4.103661645507812
hamza,Walking,4993022345000,-8.483853582763672,4.406528155517578,4.174290594482422
hamza,Walking,4993072345000,-8.582015850830077,4.2497079467773435,4.255693450927734
hamza,Walking,4993122345000,-8.49821879272461,4.021061688232422,4.572925170898437
hamza,Walking,4993172345000,-8.443152154541016,3.9600095458984375,5.008669873046875
hamza,Walking,4993222345000,-8.157045056152343,3.870226983642578,5.791573815917968
hamza,Walking,4993272345000,-8.322244970703125,3.276464971923828,5.504269616699219
hamza,Walking,4993322345000,-8.611943371582031,2.948459344482422,5.796362219238281
hamza,Walking,4993372345000,-8.686163623046875,2.7138275817871094,5.991489654541016
hamza,Walking,4993422345000,-8.141482745361328,3.408146063232422,4.630386010742187
hamza,Walking,4993472345000,-7.896077075195312,3.506308331298828,4.1754876953124995
hamza,Walking,4993522345000,-7.882908966064453,3.1028853515624997,3.81156904296875
hamza,Walking,4993572345000,-8.149862451171874,1.9045874206542968,3.0430303100585934
hamza,Walking,4993622345000,-7.97388862915039,1.9943699829101562,2.991554974365234
hamza,Walking,4993672345000,-7.505822204589843,2.43250888671875,3.056198419189453
hamza,Walking,4993722345000,-7.254431030273437,2.789244934082031,2.876633294677734
hamza,Walking,4993772345000,-7.116764434814453,2.9759926635742184,2.6396073303222654
hamza,Walking,4993822345000,-7.146691955566406,3.0119056884765625,2.5809493896484375
hamza,Walking,4993872345000,-7.247248425292969,2.7736826232910157,2.7820623291015623
hamza,Walking,4993922345000,-7.606378674316406,3.1088708557128903,5.386953735351562
hamza,Walking,4993972345000,-7.777564093017578,3.027467999267578,5.719747766113281
hamza,Walking,4994022345000,-7.832630731201172,2.7377695983886716,5.680243438720702
hamza,Walking,4994072345000,-7.82065972290039,2.442085693359375,5.452794281005859
hamza,Walking,4994122345000,-7.8900915710449215,2.2373814514160153,5.093664031982422
hamza,Walking,4994172345000,-7.900865478515625,1.8555062866210936,4.631583111572265
hamza,Walking,4994222345000,-7.844601739501953,1.618480322265625,4.265270257568359
hamza,Walking,4994272345000,-7.880514764404296,1.6304513305664061,4.052186309814453
hamza,Walking,4994322345000,-7.777564093017578,2.2661118713378903,3.6834792541503902
