pipeline,protocol,model,accuracy,macro_f1,model_size_kb,training_time_sec,inference_latency_ms_median,inference_latency_ms_p95,status,ptq_status,qat_status,paper_target_accuracy,acc_delta_vs_target
WISDM replication,random_stratified,baseline float,0.9810366624525917,0.9809982236312752,513.6171875,13.097278664000214,,,ok,ok,ok,,
WISDM replication,random_stratified,PTQ int8,0.9405815423514539,0.9403491824692204,136.921875,,4.243390000169711,4.289840750004714,ok,ok,,,
WISDM replication,random_stratified,QAT int8,0.42604298356510745,0.4101112515556247,137.34375,6.716068211999982,4.242439499989814,4.2769199999384,ok,,ok,,
paper target,—,baseline float,,,,,,,reference,,,,
paper target,—,PTQ int8,,,,,,,reference,,,,
paper target,—,QAT int8,,,,,,,reference,,,,
